code,description,explaination,type
1101,Missing Metadata File ,Timeout waiting for associated metadata file. Data files for which an associated Metadata file is not received within 30 minutes of the receipt of the data file. ,Warning
1103,Duplicate File ,A file with the same base name was previously accepted by CAT. ,Error
1104,Missing or Invalid CAT Submitter ID ,CAT Submitter ID is missing or invalid. ,Error
1105,Missing or Invalid CAT Reporter IMID ,CAT Reporter IMID is missing or is not a valid Market Participant for the Generation Date. ,Error
1106,Missing or Invalid File Generation Date ,File Generation Date is missing or is not a valid date. ,Error
1107,Metadata File Not Readable ,Metadata file format is not readable as it is not in a valid JSON format or contains an incorrect delimiter. ,Error
1108,File exceeds the supported size limit ,File size exceeds the maximum uncompressed size of 100 GB via SFTP and 1GB via the CAT Reporter Portal. ,Error
1109,Unauthorized CAT Submitter ID ,CAT Submitter ID has not been authorized to submit for the CAT Reporter IMID. Verify that the CAT Submitter ID and CAT Reporter IMID in the file name have a transmitting relationship. ,Error
1110,Missing File Information ,File information is not found in the Metadata File submission. ,Error
1111,Missing or Invalid record count ,"The record count in the metadata file is missing or is a negative number, or a non-zero number for DEL file. ",Error
1112,Mismatched Metadata File Format ,The associated Metadata file is not in the same format as the data file submitted to CAT. ,Error
1115,Missing or Invalid Compressed Hash ,"Compressed Hash in meta file is missing or invalid (e.g., doesn't match the data file). ",Error
1116,Missing or Invalid File Version ,File Version in Metadata file is missing or invalid. ,Error
1120,Invalid File in Delete Instruction ,"The delete instruction is on a file that does not exist in CAT, contains event dates more than four days prior to the current processing date, or contains actionType other than ‘NEW’. ",Error
1121,Missing Metadata File ,Timeout waiting for associated metadata file. Data files for which an associated Metadata file is not received within 2 hours of the receipt of the data file. ,Error
1122,Missing Data File ,Metadata file includes one or more data files that were not received prior to the receipt of the metadata file. ,Error
1123,Invalid thirdParty ,Third Party is invalid. ,Error
1124,Unauthorized thirdParty ,Third Party Reporting Agent has not been authorized to view feedback and error data for data submitted on behalf of the CAT Reporter. Verify that the CAT Reporter IMID and the thirdParty provided in the meta data file have an active reporting relationship. ,Error
1126,Missing or Invalid doneForDay ,doneForDay is missing or with invalid value. ,Error
1127,Missing or Invalid Type ,Type in the Metadata file is missing or invalid. ,Error
1128,File exceeds maximum records allowed for Web upload ,"A single data file uploaded via the Reporter Portal must not contain greater than 100,000 records. ",Error
2001,Missing or Invalid accountHolderType ,accountHolderType must be populated with one of the allowable values. ,Error
2002,Missing or Invalid actionType ,actionType must be populated with one of the allowable values. ,Error
2003,Missing or Invalid affiliateFlag ,affiliateFlag must be populated with one of the allowable values. ,Error
2004,Missing or Invalid aggregatedOrders ,"If populated, aggregatedOrders must be in the correct format. ",Error
2005,Missing or Invalid askPrice ,"When required, askPrice must be in the correct format. Required when askQty is populated. ",Error
2006,Missing or Invalid askQty ,"When required, askQty must be in the correct format. Required askPrice is populated. ",Error
2007,Missing or Invalid atsDisplayInd ,"When required, atsDisplayInd must be one of the allowable values. ",Error
2008,Missing or Invalid atsOrderType ,"When required, atsOrderType must be equal to a unique identifier representing the specific order type provided to CAT by the ATS. ",Error
2009,Missing or Invalid bidPrice ,"When required, bidPrice must be in the correct format; must be populated if bidQty is populated. ",Error
2010,Missing or Invalid bidQty ,"When required, bidQty must be in the correct format; must be populated if bidPrice is populated. ",Error
2011,Invalid CATReporterIMID ,"If populated, CATReporterIMID must be valid for the Event Date and must equal the CATReporterIMID in the filename. ",Error
2012,Missing or Invalid cancelQty ,cancelQty must be populated in the correct format. ,Error
2013,Missing or Invalid cancelFlag ,cancelFlag must be populated in the correct format. ,Error
2014,Missing or Invalid cancelTimestamp ,"When required, cancelTimestamp must be in the correct format; must be populated if cancelFlag is True. ",Error
2015,Missing or Invalid capacity ,capacity must be populated with one of the allowable values. ,Error
2017,Missing or Invalid custDspIntrFlag ,custDspIntrFlag must be populated with one of the allowable values. ,Error
2018,Missing or Invalid deptType ,deptType must be populated with one of the allowable values. ,Error
2019,Combination of destination and destinationType is Invalid ,"For Route Events, the following destinationType and destination combinations are required: ·   If destinationType is F, the destination must be the IMID of an Industry Member. Must be valid for the Event Date. ·   If destinationType is E, the destination must be one of the allowable values. ",Error
2020,Missing or Invalid destinationType ,destinationType must be populated with one of the allowable values. ,Error
2021,Missing or Invalid displayPrice ,"When required, displayPrice must be in the correct format. ",Error
2022,Missing or Invalid displayQty ,"When required, displayQty must be in the correct format. ",Error
2023,Missing or Invalid dupROIDCond ,dupROIDCond must be populated with one of the allowable values. ,Error
2024,Missing or Invalid electronicDupFlag ,electronicDupFlag must be populated and is one of the allowable values. ,Error
2025,Invalid electronicTimestamp ,electronicTimestamp must be in the correct format. ,Error
2026,Missing or Invalid errorROEID ,errorROEID must be blank when the actionType is ‘NEW’; must be populated when actionType is ‘RPR’. ,Error
2027,Missing or Invalid eventTimestamp ,"eventTimestamp must be in the correct format. If manualFlag is true, eventTimestamp must be reported in increments of at least one second. If manualFlag is false, eventTimestamp must be reported in increments of at least milliseconds. ",Error
2028,Combination of exchOriginCode and destinationType is invalid ,"For Option Order Route events, the following exchOriginCode and destinationType combination are required: ·   If destinationType is not E, exchOriginCode must be blank. ·   If destinationType is E, exchOriginCode must be populated. ",Error
2030,Missing or Invalid fillKeyDate ,fillKeyDate must be populated in the correct format. ,Error
2031,Missing or Invalid firmDesignatedID ,"When required, firmDesignatedID must be in the correct format and unique among all identifiers from any given Industry Member for each business date. ",Error
2032,Missing or Invalid firmROEID ,firmROEID must be populated and in the correct format. ,Error
2033,Invalid Event Date in the firmROEID ,The Event Date portion of the firmROEID must be in the correct format and must equal the date portion of eventTimestamp. ,Error
2034,Missing or Invalid fulfillmentID ,fulfillmentID must be populated in the correct format. ,Error
2035,Missing or Invalid fulfillmentLinkType ,fulfillmentLinkType must be populated with one of the allowable values. ,Error
2036,Invalid handlingInstructions ,handlingInstructions must be in the correct format and must include allowable values. Name and value must be provided when applicable. ,Error
2037,Invalid infoBarrierID ,infoBarrierID must be in the correct format. ,Error
2038,Missing or Invalid initiator ,initiator must be populated with one of the allowable values. ,Error
2039,Missing or Invalid isolnd ,"When required, isolnd value must be one of the allowable values. ",Error
2040,Missing or Invalid leavesQty ,"When required, leavesQty must be in the correct format, and must be less than or equal to quantity. ",Error
2041,Missing or Invalid manualFlag ,manualFlag must be one of the allowable values. ,Error
2042,Missing or Invalid manualOrderKeyDate ,manualOrderKeyDate must be in the correct format; required if manualOrderID is populated. ,Error
2043,Missing or Invalid manualOrderID ,manualOrderID must be in the correct format. ,Error
2044,Missing or Invalid marketCenterID ,"When required, marketCenterID must be one of the allowable values. ",Error
2045,Invalid minQty ,"minQty must be in the correct format, must be greater than zero, and must be less than or equal to quantity. ",Error
2046,Invalid mpStatusCode ,mpStatusCode must be one of the allowable values. ,Error
2047,Missing or Invalid nbboSource ,"When required, nbboSource must be one of the allowable values. ",Error
2048,Missing or Invalid nbboTimestamp ,"When required, nbboTimestamp must be in the correct format. ",Error
2049,Missing or Invalid nbbPrice ,"When required, nbbPrice must be in the correct format. ",Error
2050,Missing or Invalid nbbQty ,"When required, nbbQty must be in the correct format. ",Error
2051,Missing or Invalid nboPrice ,"When required, nboPrice must be in the correct format. ",Error
2052,Missing or Invalid nboQty ,"When required, nboQty must be in the correct format. ",Error
2053,Missing or Invalid negotiatedTradeFlag ,negotiatedTradeFlag must be populated and one of the allowable values. ,Error
2054,Missing or Invalid sideDetailsInd ,sideDetailsInd must be populated with one of the allowable values. ,Error
2055,Invalid nextUnlinked ,nextUnlinked must be one of the allowable values. ,Error
2056,Missing or Invalid onlyOneQuoteFlag ,onlyOneQuoteFlag must be populated with one of the allowable values if required to populate. ,Error
2057,Missing or Invalid openCloseIndicator ,"When required, openCloseIndicator must be one of the allowable values. ",Error
2058,Missing or Invalid optionID ,optionID must be populated in the correct format. ,Error
2060,optionID not effective on Event Date ,optionID is not effective on the event date. ,Error
2061,Missing or Invalid orderID ,orderID must be populated in the correct format. ,Error
2062,Missing or Invalid orderType ,orderType must be populated one of the allowable values. ,Error
2063,Missing or Invalid orderKeyDate ,orderKeyDate must be populated and in the correct format. ,Error
2064,Missing or Invalid originatingIMID ,"If populated, originatingIMID must be in the correct format on all secondary events. Must be valid for the Event Date. ",Error
2065,Missing or Invalid parentOrderID ,parentOrderID must be populated in the correct format. ,Error
2066,Missing or Invalid parentOrderKeyDate ,parentOrderKeyDate must be populated in the correct format. ,Error
2067,Missing or Invalid price ,price must be in the correct format. ,Error
2068,Missing or Invalid priorFillKeyDate ,"When required, priorFillKeyDate must be populated and in the correct format. ",Error
2070,Missing or Invalid priorFulfillmentID ,"When required, priorFulfillmentID must be in the correct format. ",Error
2071,Missing or Invalid priorOrderID ,"When required, priorOrderID must be populated in the correct format. ",Error
2072,Missing or Invalid priorOrderKeyDate ,"When required, priorOrderKeyDate must be populated in the correct format. ",Error
2073,Missing or Invalid priorQuoteKeyDate ,"When required, priorQuoteKeyDate must be populated in the correct format. ",Error
2074,Missing or Invalid priorQuoteID ,"When required, priorQuoteID must populated and must be in the correct format. ",Error
2075,Invalid priorUnlinked ,priorUnlinked value must be one of the allowable values. ,Error
2076,Missing or Invalid quantity ,quantity must be in the correct format. ,Error
2077,Missing or Invalid quoteID ,quoteID must be populated in the correct format. ,Error
2078,Missing or Invalid quoteKeyDate ,quoteKeyDate must be populated and in the correct format. ,Error
2080,Missing or Invalid quoteRejectedFlag ,"When required, quoteRejectedFlag must be populated in one of the allowable values. ",Error
2081,Missing or Invalid receivedQuoteID ,receivedQuoteID must be populated in the correct format. ,Error
2082,Missing or Invalid receiverIMID ,receiverIMID must be populated in the correct format. Must be valid for the Event Date. ,Error
2083,Missing or Invalid receivingDeskType ,receivingDeskType must be populated in one of the allowable values. ,Error
2084,Invalid reportingExceptionCode ,reportingExceptionCode must be one of the allowable values. ,Error
2085,Missing or Invalid representativeInd ,representativeInd must be populated in one of the allowable values. ,Error
2086,Invalid routedOrderID ,routedOrderID must be populated in the correct ,Error
2087,Invalid routedQuoteID ,"When required, routedQuoteID must be populated in the correct format. ",Error
2088,Invalid routeRejectedFlag ,routeRejectedFlag must be one of the allowable values. ,Error
2089,Combination of senderType and senderIMID is invalid ,"If senderType = F, senderIMID is the IMID of an Industry Member. If senderType = E, senderIMID must be one of the allowable values. ",Error
2090,Missing or Invalid senderType ,"When required, senderType must be one of the allowable values. ",Error
2091,Missing or Invalid senderIMID ,"When required, senderIMID must be populated in the correct format. Must be valid for the Event Date. ",Error
2092,Missing or Invalid seqNum ,"When required, seqNum must be in the correct format. ",Error
2093,Missing or Invalid session ,"When required, session must populated. Required when destinationType is E. ",Error
2095,Missing or Invalid side ,side must be populated in one of the allowable values. ,Error
2096,Missing or Invalid symbol ,symbol must be populated in the correct format. ,Error
2098,symbol not effective on Event Date ,symbol is not effective on the event date. ,Error
2099,symbol does not match listing market format ,"For exchange listed securities, the symbol format must match the format published by the primary listing market. ",Error
2100,Invalid tapeTradeID ,"If populated, tapeTradeID must be in the correct format. ",Error
2101,Missing or Invalid timeInForce ,timeInForce value must be populated in the correct format. Name and value must be provided when applicable. ,Error
2102,Missing or Invalid tradeID ,tradeID must be populated in the correct format. ,Error
2103,Missing or Invalid tradeKeyDate ,tradeKeyDate must be populated in the correct format. ,Error
2104,Missing or Invalid tradingSession ,tradingSession must be populated in one of the allowable values. ,Error
2105,Missing or Invalid type ,"For each event type, type must be populated and one of the allowable values. ",Error
2106,Missing or Invalid unsolicitedInd ,unsolicitedInd must be populated in one of the allowable values. ,Error
2107,Invalid workingPrice ,"workingPrice must be blank if atsDisplayInd is blank. When required, workingPrice must be populated in the correct format if atsDisplayInd is populated. If no workingPrice is applicable, it must be 0. ",Error
2108,Missing or Invalid buyDetails ,"If sideDetailsInd = BUY, buyDetails must be populated. If sideDetailsInd = SELL, buyDetails must not be populated. ",Error
2109,Missing or Invalid orderID in buyDetails ,"When required, orderID must be populated in the correct format. ",Error
2110,Missing or Invalid orderKeyDate in buyDetails ,"When required, orderKeyDate must be populated in the correct format. ",Error
2111,Missing or Invalid side in buyDetails ,side must be populated in the correct format. ,Error
2112,Missing or Invalid firmDesignatedID in buyDetails ,"When required, firmDesignatedID must be populated in the correct format. ",Error
2113,Missing or Invalid accountHolderType in buyDetails ,"When required, accountHolderType must be one of the allowable values. ",Error
2114,Invalid combination of firmDesignatedID and orderID in buyDetails ,"When required, the combination of firmDesignatedID and orderID in buyDetails must be valid. See section Trade Side Details for more details. ",Error
2115,Missing or Invalid sellDetails ,"If sideDetailsInd = SELL, sellDetails must be populated. If sideDetailsInd = BUY, sellDetails must not be populated. ",Error
2116,Missing or Invalid orderID in sellDetails ,"When required, orderID must be populated in the correct format. ",Error
2117,Missing or Invalid orderKeyDate in sellDetails ,"When required, orderKeyDate must be populated in the correct format. ",Error
2118,Missing or Invalid side in sellDetails ,side must be populated in the correct format. ,Error
2119,Missing or Invalid firmDesignatedID in sellDetails ,"When required, firmDesignatedID must be populated in the correct format. ",Error
2120,Missing or Invalid accountHolderType in sellDetails ,"When required, accountHolderType must be populated in the correct format. ",Error
2121,Missing or Invalid orderID in clientDetails ,orderID must be populated in the correct format. ,Error
2122,Missing or Invalid orderKeyDate in clientDetails ,orderKeyDate must be populated in the correct format. ,Error
2123,Missing or Invalid side in clientDetails ,side must be populated in the correct format. ,Error
2124,Invalid firmDesignatedID in clientDetails ,firmDesignatedID must be blank. ,Error
2125,Invalid accountHolderType in clientDetails  ,accountHolderType must be blank. ,Error
2126,Missing or Invalid orderID in firmDetails ,"When required, orderID must be populated and in the correct format. ",Error
2127,Missing or Invalid orderKeyDate in firmDetails ,"When required, orderKeyDate must be populated in the correct format. ",Error
2128,Missing or Invalid side in firmDetails ,side must be populated and in the correct format. ,Error
2129,Missing or Invalid firmDesignatedID in firmDetails ,"When required, firmDesignatedID must be in the correct format. ",Error
2130,Missing or Invalid accountHolderType in firmDetails ,"When required, accountHolderType must be one of the allowable values. ",Error
2132,Record exceeds maximum length ,Record length must not exceed the maximum length for each record. ,Error
2133,Additional fields are specified in the record but are not defined for this CAT event type ,Refer to section 4 & 5 for permitted fields for each CAT event type. ,Error
2134,Invalid JSON or CSV format ,The record is not represented in a valid format as specified in Section 2.5 Data Types. ,Error
2136,Invalid Alphanumeric Character ,A field value in the record contains a delimiter or a non-allowable ASCII character ,Error
2137,"Invalid correction, deletion or a repair ","actionType ‘COR’, ‘RPR’ or ‘DEL’ is received for a firmROEID or an errorROEID that does not exist in CAT. ",Error
2139,eventTimestamp is greater than the current date and time ,The eventTimestamp is greater than system date. ,Error
2142,Invalid combination of aggregatedOrders and representativeInd ,The combination of aggregatedOrders and representativeInd must be valid. See Appendix C for more details on reporting representative and combined orders. ,Error
2143,Invalid combination of electronicDupFlag and manualFlag ,The combination of electronicDupFlag and manualFlag must be valid. See section 3.2.2 for more details. ,Error
2144,Invalid combination of electronicTimestamp and manualFlag ,The combination of electronicTimestamp and manualFlag must be valid. See section 3.2.2 for more details. ,Error
2145,Invalid combination of fulfillmentLinkType and firmDetails ,The combination of fulfillmentLinkType and firmDetails must be valid. See Appendix C for more details on reporting representative and combined orders. ,Error
